RegionID,SizeRank,City,RegionType,State,Metro,CountyName,Mean (2010),Mean (2020),Mean (2021(Q1)),Code,Originating Domestic Passengers 10%,Originating Domestic Passengers,AIRPORT,LATITUDE,LONGITUDE
11971,10915,Hoosick Falls,City,NY,Albany-Schenectady-Troy,Rensselaer County,120667.95,122419.5,138960.0,,,,,,
25183,11086,Hopewell Junction,City,NY,New York-Newark-Jersey City,Dutchess County,342278.12,395509.75,429379.0,,,,,,
5213,6065,Hornell,City,NY,Corning,Steuben County,72074.97,80299.58,83179.67,,,,,,
35541,7235,Hudson,City,NY,Hudson,Columbia County,173850.18,232463.5,248186.67,,,,,,
12001,6789,Hudson Falls,City,NY,Glens Falls,Washington County,131413.49,161892.92,166493.0,,,,,,
32135,6817,Ilion,City,NY,Utica-Rome,Herkimer County,81579.1,98243.33,98905.67,,,,,,
18696,29449,Interlaken,City,NY,Seneca Falls,Seneca County,114894.82,147329.33,150522.0,,,,,,
43424,6769,Inwood,City,NY,New York-Newark-Jersey City,Nassau County,414973.78,545029.25,577087.33,,,,,,
12068,5971,Irvington,City,NY,New York-Newark-Jersey City,Westchester County,918899.52,960467.33,1017701.33,,,,,,
15382,6776,Island Park,City,NY,New York-Newark-Jersey City,Nassau County,431143.8,534434.08,573812.0,,,,,,
5317,1871,Jamestown,City,NY,Jamestown-Dunkirk-Fredonia,Chautauqua County,66003.33,75222.75,79235.33,,,,,,
5343,4557,Jericho,City,NY,New York-Newark-Jersey City,Nassau County,743080.77,839037.75,866226.33,,,,,,
12133,3885,Johnson City,City,NY,Binghamton,Broome County,86097.1,90407.08,94455.67,,,,,,
29666,28926,Jordan,City,NY,Syracuse,Onondaga County,117674.17,138920.58,148033.67,,,,,,
32292,8435,Kent Lakes,City,NY,New York-Newark-Jersey City,Putnam County,286363.61,317735.67,332875.0,,,,,,
29773,15619,Kerhonkson,City,NY,Kingston,Ulster County,225590.14,252987.75,279360.0,,,,,,
